nome,cpf,idade,data,endereco,bairro,estado
Sophie Caldeira,403.***.***-17,37.0,1988-01-28,"vila nina moura, 41",Desconhecido,Desconhecido
Gabriel Costa,930.***.***-34,61.0,1964-04-07,"núcleo carvalho, 87",Desconhecido,Desconhecido
Ana Carolina Costa,680.***.***-80,52.0,1973-12-15,"rodovia de da luz, 710",Desconhecido,Desconhecido
Maitê Fogaça,543.***.***-57,27.0,1997-10-29,residencial beatriz lopes,Desconhecido,Desconhecido
Bruna Caldeira,259.***.***-03,69.0,1956-05-14,"aeroporto de ferreira, 9",Desconhecido,Desconhecido
Caroline Moura,593.***.***-25,31.0,1993-04-27,"chácara da luz, 27",Desconhecido,Desconhecido
Sra. Ana Júlia Pires,561.***.***-06,48.0,1977-06-19,núcleo cardoso,Desconhecido,Desconhecido
Dra. Larissa Fernandes,503.***.***-51,44.0,1981-02-21,"residencial de ribeiro, 11",Desconhecido,Desconhecido
Rodrigo Da Luz,416.***.***-61,33.0,1992-02-03,"aeroporto de campos, 63",Desconhecido,Desconhecido
Carlos Eduardo Barros,730.***.***-70,32.0,1992-05-25,loteamento de rodrigues,Desconhecido,Desconhecido
Ana Laura Silva,047.***.***-66,53.0,1972-06-20,"vale pinto, 70",Desconhecido,Desconhecido
Maitê Nogueira,517.***.***-06,67.0,1958-10-01,"vale costela, 5",Desconhecido,Desconhecido
Ana Laura Da Luz,681.***.***-90,81.0,1943-09-26,"jardim de barros, 111",Desconhecido,Desconhecido
Sra. Brenda Viana,154.***.***-01,77.0,1948-10-12,"pátio da rocha, 793",Desconhecido,Desconhecido
Augusto Teixeira,360.***.***-47,95.0,1930-05-17,"setor samuel porto, 99",Desconhecido,Desconhecido
Dr. Francisco Lima,318.***.***-70,66.0,1959-02-01,"via diego lima, 60",Desconhecido,Desconhecido
Isaac Da Luz,293.***.***-83,76.0,1949-09-12,"área joão lucas lima, 997",Desconhecido,Desconhecido
Calebe Jesus,068.***.***-00,47.0,1978-02-15,"praia vitor gabriel cunha, 89",Desconhecido,Desconhecido
Kevin Melo,786.***.***-22,59.0,1966-11-05,viaduto juliana nogueira,Desconhecido,Desconhecido
Pedro Miguel Peixoto,079.***.***-68,50.0,1975-03-26,"passarela moura, 85",Desconhecido,Desconhecido
Gabrielly Almeida,498.***.***-00,30.0,1994-06-21,"condomínio de sales, 62",Desconhecido,Desconhecido
Murilo Correia,197.***.***-93,34.0,1990-11-29,"estação de ribeiro, 893",Desconhecido,Desconhecido
Matheus Dias,156.***.***-53,83.0,1942-12-02,Endereço inválido,Desconhecido,Desconhecido
Stella Cardoso,798.***.***-39,57.0,1968-08-14,"estrada ana ramos, 10",Desconhecido,Desconhecido
Marcela Barbosa,509.***.***-66,62.0,1963-03-04,"estação de azevedo, 639",Desconhecido,Desconhecido
Ana Carolina Pires,612.***.***-06,89.0,1936-04-16,"viaduto eduarda pinto, 76",Desconhecido,Desconhecido
Helena Aragão,791.***.***-23,85.0,1940-02-19,morro lavínia almeida,Desconhecido,Desconhecido
João Gabriel Oliveira,496.***.***-09,97.0,1927-11-21,"travessa oliveira, 28",Desconhecido,Desconhecido
Maria Cecília Vieira,491.***.***-64,89.0,1936-05-14,"conjunto de souza, 842",Desconhecido,Desconhecido
Lorena Rodrigues,461.***.***-90,46.0,1978-12-27,"quadra de fogaça, 57",Desconhecido,Desconhecido
Nicolas Cunha,873.***.***-53,71.0,1954-09-01,"estrada de carvalho, 52",Desconhecido,Desconhecido
Vitor Hugo Ramos,485.***.***-06,31.0,1994-08-07,"travessa melo, 5",Desconhecido,Desconhecido
Luigi Aragão,704.***.***-74,41.0,1984-02-28,"largo de rodrigues, 19",Desconhecido,Desconhecido
Maria Julia Barros,123.***.***-77,51.0,1974-06-14,área nogueira,Desconhecido,Desconhecido
Luiz Gustavo Silveira,178.***.***-03,94.0,1931-02-16,estação mendes,Desconhecido,Desconhecido
Ana Júlia Fernandes,795.***.***-76,98.0,1927-05-16,"passarela de carvalho, 69",Desconhecido,Desconhecido
Luiz Miguel Novaes,754.***.***-28,27.0,1998-01-24,"morro de nascimento, 17",Desconhecido,Desconhecido
Gabriel Santos,142.***.***-30,22.0,2003-03-24,"largo viana, 3",Desconhecido,Desconhecido
Srta. Sophie Vieira,624.***.***-17,73.0,1952-04-06,"loteamento de viana, 65",Desconhecido,Desconhecido
Júlia Cardoso,482.***.***-02,89.0,1935-07-24,"feira gustavo nascimento, 911",Desconhecido,Desconhecido
Dra. Gabriela Jesus,846.***.***-40,50.0,1975-03-04,vereda cunha,Desconhecido,Desconhecido
Dr. João Gabriel Correia,038.***.***-08,49.0,1975-05-27,"aeroporto augusto das neves, 847",Desconhecido,Desconhecido
Luiz Gustavo Jesus,625.***.***-02,100.0,1925-04-09,"feira fogaça, 914",Desconhecido,Desconhecido
Rodrigo Ferreira,527.***.***-49,56.0,1969-02-27,"estação moraes, 13",Desconhecido,Desconhecido
Alícia Ribeiro,514.***.***-94,92.0,1932-04-28,"feira maria julia costela, 21",Desconhecido,Desconhecido
Sr. André Da Mata,169.***.***-15,68.0,1957-12-07,"loteamento de lima, 16",Desconhecido,Desconhecido
Srta. Maria Julia Campos,245.***.***-55,65.0,1960-02-06,"rodovia pires, 57",Desconhecido,Desconhecido
João Gabriel Ferreira,018.***.***-03,96.0,1929-07-20,pátio carvalho,Desconhecido,Desconhecido
Thomas Moraes,291.***.***-05,61.0,1964-02-09,"parque melo, 462",Desconhecido,Desconhecido
Clara Melo,860.***.***-57,63.0,1962-02-15,"alameda vitor gabriel lopes, 52",Desconhecido,Desconhecido
Luigi Cavalcanti,078.***.***-50,35.0,1990-07-07,"campo de campos, 83",Desconhecido,Desconhecido
Dra. Stella Da Costa,340.***.***-51,54.0,1970-10-31,"passarela oliveira, 48",Desconhecido,Desconhecido
Isabella Da Paz,289.***.***-65,81.0,1943-12-31,"via letícia nunes, 280",Desconhecido,Desconhecido
Enzo Da Rocha,874.***.***-13,44.0,1980-12-28,"travessa ribeiro, 92",Desconhecido,Desconhecido
Olivia Fernandes,016.***.***-48,52.0,1973-12-09,"conjunto eduardo da paz, 2",Desconhecido,Desconhecido
André Da Mata,648.***.***-08,39.0,1986-11-05,"feira clara lima, 5",Desconhecido,Desconhecido
Pedro Henrique Cavalcanti,938.***.***-86,79.0,1946-02-09,"núcleo de rocha, 9",Desconhecido,Desconhecido
Joaquim Silveira,671.***.***-12,22.0,2003-07-18,"vila de freitas, 80",Desconhecido,Desconhecido
Mirella Rodrigues,216.***.***-94,48.0,1977-12-11,"fazenda de lima, 95",Desconhecido,Desconhecido
Sra. Isabelly Azevedo,087.***.***-76,75.0,1949-11-23,"ladeira caldeira, 5",Desconhecido,Desconhecido
Dr. Samuel Ferreira,720.***.***-87,36.0,1989-02-02,"travessa ana lívia da mata, 63",Desconhecido,Desconhecido
Otávio Carvalho,643.***.***-90,89.0,1936-07-09,"residencial costa, 9",Desconhecido,Desconhecido
Dra. Stephany Da Mota,154.***.***-51,26.0,1999-03-16,"colônia monteiro, 49",Desconhecido,Desconhecido
Cauê Mendes,152.***.***-44,32.0,1993-12-15,"lagoa das neves, 36",Desconhecido,Desconhecido
Alexandre Nunes,496.***.***-33,53.0,1972-07-03,"esplanada souza, 437",Desconhecido,Desconhecido
Maria Fernanda Aragão,372.***.***-53,68.0,1956-05-24,"favela de carvalho, 28",Desconhecido,Desconhecido
João Guilherme Silva,820.***.***-30,74.0,1951-03-20,"praça caroline almeida, 19",Desconhecido,Desconhecido
Lorena Rezende,753.***.***-95,74.0,1951-03-25,"lagoa de fogaça, 92",Desconhecido,Desconhecido
Maria Sophia Da Cruz,690.***.***-34,69.0,1955-05-27,"vale ana julia porto, 19",Desconhecido,Desconhecido
Milena Das Neves,685.***.***-89,95.0,1930-09-02,"residencial de cunha, 20",Desconhecido,Desconhecido
Kamilly Da Cunha,520.***.***-80,67.0,1957-06-21,"travessa lucca carvalho, 38",Desconhecido,Desconhecido
Luiz Miguel Aragão,937.***.***-12,55.0,1970-03-11,aeroporto ana clara oliveira,Desconhecido,Desconhecido
Ana Laura Ribeiro,754.***.***-47,39.0,1986-11-14,"praia de da mata, 18",Desconhecido,Desconhecido
Lorena Da Mota,162.***.***-90,57.0,1967-05-22,"favela de azevedo, 62",Desconhecido,Desconhecido
Emanuella Souza,617.***.***-07,80.0,1945-12-06,"loteamento ferreira, 493",Desconhecido,Desconhecido
Cecília Pinto,498.***.***-30,26.0,1999-04-16,"campo vinicius campos, 2",Desconhecido,Desconhecido
Pedro Henrique Cunha,584.***.***-00,46.0,1978-12-27,"condomínio bruna mendes, 55",Desconhecido,Desconhecido
Sra. Eloah Da Mota,901.***.***-03,33.0,1991-05-31,"loteamento freitas, 30",Desconhecido,Desconhecido
Samuel Da Rocha,159.***.***-97,23.0,2002-05-03,"trecho de freitas, 8",Desconhecido,Desconhecido
Melissa Almeida,705.***.***-92,66.0,1959-08-13,"alameda de da rosa, 2",Desconhecido,Desconhecido
Carlos Eduardo Da Mota,894.***.***-20,100.0,1925-08-08,"largo juliana barbosa, 182",Desconhecido,Desconhecido
Dr. Vitor Da Mota,789.***.***-28,50.0,1975-05-17,viela de da paz,Desconhecido,Desconhecido
Dr. Diogo Costela,962.***.***-73,37.0,1987-09-28,"passarela joão lucas nogueira, 753",Desconhecido,Desconhecido
Rafaela Rodrigues,578.***.***-60,82.0,1943-12-10,"campo vinicius silva, 27",Desconhecido,Desconhecido
Vitor Hugo Da Conceição,716.***.***-55,26.0,1998-04-30,"viaduto de castro, 65",Desconhecido,Desconhecido
Ana Laura Caldeira,518.***.***-73,52.0,1972-10-28,"estrada de rocha, 305",Desconhecido,Desconhecido
Dra. Laura Silveira,472.***.***-49,96.0,1928-12-23,"pátio lopes, 1",Desconhecido,Desconhecido
Sr. Rafael Pereira,492.***.***-79,87.0,1937-06-21,"recanto gustavo pereira, 77",Desconhecido,Desconhecido
Manuela Mendes,518.***.***-60,33.0,1992-02-25,"largo kevin barbosa, 2",Desconhecido,Desconhecido
Igor Lopes,073.***.***-22,31.0,1994-11-19,recanto azevedo,Desconhecido,Desconhecido
Marcelo Moreira,346.***.***-87,51.0,1974-10-05,"trecho igor barros, 77",Desconhecido,Desconhecido
Thomas Costela,428.***.***-22,95.0,1930-03-08,alameda de pinto,Desconhecido,Desconhecido
Luiz Otávio Gonçalves,637.***.***-90,65.0,1960-10-10,"trevo rezende, 51",Desconhecido,Desconhecido
Stella Da Costa,063.***.***-07,55.0,1969-12-25,"estação de freitas, 32",Desconhecido,Desconhecido
Luana Da Cruz,083.***.***-86,31.0,1994-10-12,distrito rocha,Desconhecido,Desconhecido
Maria Cecília Lima,132.***.***-89,29.0,1996-12-02,"recanto silveira, 47",Desconhecido,Desconhecido
Melissa Teixeira,642.***.***-78,72.0,1953-11-03,"residencial de pires, 28",Desconhecido,Desconhecido
Dr. Vinicius Pires,163.***.***-10,39.0,1986-02-05,"distrito de lopes, 397",Desconhecido,Desconhecido
Luiz Miguel Farias,962.***.***-00,89.0,1936-11-03,"feira cardoso, 21",Desconhecido,Desconhecido
Breno Correia,148.***.***-67,42.0,1983-05-07,"conjunto daniel fernandes, 403",Desconhecido,Desconhecido
Laís Costela,306.***.***-53,59.0,1966-01-18,"parque maitê santos, 42",Desconhecido,Desconhecido
Dr. Diego Da Mata,293.***.***-41,21.0,2003-08-22,"quadra de da mota, 62",Desconhecido,Desconhecido
Letícia Da Mota,852.***.***-02,31.0,1993-05-24,"viaduto jesus, 11",Desconhecido,Desconhecido
Luna Ferreira,843.***.***-14,55.0,1970-01-25,"alameda anthony fogaça, 11",Desconhecido,Desconhecido
Dr. Emanuel Silveira,430.***.***-80,30.0,1994-04-23,"quadra de fogaça, 28",Desconhecido,Desconhecido
Lorena Sales,263.***.***-15,45.0,1979-12-26,fazenda caldeira,Desconhecido,Desconhecido
Davi Da Mata,846.***.***-39,56.0,1969-02-19,vila alves,Desconhecido,Desconhecido
Isabel Melo,748.***.***-09,76.0,1948-12-28,"feira enrico nogueira, 1",Desconhecido,Desconhecido
Raul Oliveira,298.***.***-64,94.0,1931-01-03,"rua pedro miguel da luz, 95",Desconhecido,Desconhecido
Levi Da Mata,192.***.***-32,62.0,1962-10-21,vila de da mata,Desconhecido,Desconhecido
Heloísa Castro,587.***.***-44,64.0,1961-05-15,"sítio de cardoso, 88",Desconhecido,Desconhecido
Sra. Júlia Da Paz,046.***.***-74,39.0,1986-08-19,"jardim maria sophia ferreira, 95",Desconhecido,Desconhecido
Luana Viana,213.***.***-21,27.0,1998-04-01,"praça de castro, 980",Desconhecido,Desconhecido
Sr. Renan Sales,364.***.***-83,24.0,2001-04-17,"praça olivia silveira, 49",Desconhecido,Desconhecido
Caio Aragão,714.***.***-62,24.0,2001-11-19,"área de barros, 86",Desconhecido,Desconhecido
Srta. Lavínia Ribeiro,263.***.***-51,77.0,1948-11-19,"alameda gustavo henrique gonçalves, 50",Desconhecido,Desconhecido
Sofia Da Mata,806.***.***-84,23.0,2002-05-16,"jardim de lopes, 7",Desconhecido,Desconhecido
André Araújo,819.***.***-13,44.0,1980-04-26,"alameda de da mota, 94",Desconhecido,Desconhecido
Nathan Azevedo,285.***.***-82,86.0,1939-02-12,"lagoa milena ramos, 4",Desconhecido,Desconhecido
Camila Teixeira,982.***.***-40,48.0,1977-08-13,"setor da cunha, 39",Desconhecido,Desconhecido
Srta. Clara Souza,510.***.***-71,27.0,1998-08-20,"área peixoto, 32",Desconhecido,Desconhecido
Yuri Nascimento,129.***.***-73,58.0,1966-09-28,"vereda matheus azevedo, 2",Desconhecido,Desconhecido
Srta. Marcela Gonçalves,148.***.***-87,85.0,1940-11-03,"praia raul campos, 12",Desconhecido,Desconhecido
João Ramos,936.***.***-87,51.0,1973-08-28,"jardim enzo da paz, 47",Desconhecido,Desconhecido
Renan Rocha,720.***.***-92,44.0,1981-10-08,"vale oliveira, 22",Desconhecido,Desconhecido
Sr. Caio Souza,453.***.***-33,52.0,1973-07-02,"conjunto maria vitória da cunha, 59",Desconhecido,Desconhecido
Clarice Farias,743.***.***-22,56.0,1968-12-22,"alameda maria fernanda castro, 87",Desconhecido,Desconhecido
Marcos Vinicius Jesus,597.***.***-00,74.0,1951-10-12,"praça de moraes, 588",Desconhecido,Desconhecido
João Pedro Nunes,910.***.***-42,36.0,1989-09-16,"jardim de ramos, 69",Desconhecido,Desconhecido
Levi Farias,659.***.***-52,47.0,1978-12-03,"quadra mendes, 42",Desconhecido,Desconhecido
Dr. Enzo Da Costa,791.***.***-75,42.0,1983-05-07,"campo marcela silveira, 66",Desconhecido,Desconhecido
Heloísa Alves,029.***.***-79,88.0,1937-10-06,"fazenda de moraes, 637",Desconhecido,Desconhecido
Luiz Henrique Da Mota,842.***.***-91,21.0,2004-02-17,"recanto alves, 105",Desconhecido,Desconhecido
Camila Caldeira,903.***.***-03,55.0,1969-04-23,"lago jesus, 71",Desconhecido,Desconhecido
Arthur Mendes,918.***.***-05,51.0,1973-12-23,esplanada cauã teixeira,Desconhecido,Desconhecido
João Felipe Campos,362.***.***-06,55.0,1970-03-28,"praia heitor castro, 6",Desconhecido,Desconhecido
Guilherme Azevedo,174.***.***-16,62.0,1962-07-24,"viela benjamin campos, 1",Desconhecido,Desconhecido
Dra. Laura Cunha,364.***.***-50,47.0,1977-12-22,"núcleo castro, 7",Desconhecido,Desconhecido
Noah Moraes,108.***.***-12,56.0,1969-04-03,"estrada lucas gabriel caldeira, 856",Desconhecido,Desconhecido
Davi Lucca Lopes,260.***.***-90,34.0,1990-11-27,"trecho freitas, 427",Desconhecido,Desconhecido
Sophia Da Cruz,621.***.***-15,40.0,1984-07-30,via ribeiro,Desconhecido,Desconhecido
Igor Da Luz,740.***.***-85,48.0,1977-12-16,"lago silva, 75",Desconhecido,Desconhecido
Dr. Samuel Nascimento,692.***.***-73,87.0,1937-07-30,"travessa duarte, 59",Desconhecido,Desconhecido
Maria Fernanda Freitas,968.***.***-28,68.0,1957-08-10,favela sarah porto,Desconhecido,Desconhecido
Eduarda Costa,206.***.***-68,29.0,1995-10-31,"morro enzo gabriel teixeira, 84",Desconhecido,Desconhecido
Lorenzo Monteiro,069.***.***-20,45.0,1980-07-16,"área da mota, 13",Desconhecido,Desconhecido
Caroline Cardoso,618.***.***-17,53.0,1972-09-08,"viaduto de moreira, 1",Desconhecido,Desconhecido
Henrique Da Rocha,329.***.***-99,22.0,2003-01-09,"núcleo luiz gustavo costela, 99",Desconhecido,Desconhecido
Lucas Gabriel Oliveira,743.***.***-38,53.0,1972-08-04,via araújo,Desconhecido,Desconhecido
Sr. Arthur Jesus,418.***.***-93,97.0,1927-05-27,lago de cardoso,Desconhecido,Desconhecido
Marcos Vinicius Da Cunha,572.***.***-43,49.0,1976-01-16,viaduto de cardoso,Desconhecido,Desconhecido
Antônio Nogueira,061.***.***-71,21.0,2004-08-11,"quadra de da mata, 49",Desconhecido,Desconhecido
Sophia Monteiro,601.***.***-15,91.0,1933-10-22,"núcleo araújo, 155",Desconhecido,Desconhecido
Dr. Leandro Silva,497.***.***-85,58.0,1967-12-07,"estação silva, 18",Desconhecido,Desconhecido
Amanda Farias,185.***.***-08,100.0,1924-07-31,"praia lavínia moraes, 29",Desconhecido,Desconhecido
Srta. Luna Peixoto,912.***.***-23,55.0,1970-12-14,"fazenda rafaela costela, 37",Desconhecido,Desconhecido
Sr. Igor Campos,183.***.***-62,56.0,1969-08-17,"fazenda ferreira, 849",Desconhecido,Desconhecido
Maria Sophia Correia,948.***.***-75,100.0,1925-10-03,"residencial alana dias, 51",Desconhecido,Desconhecido
Bruno Da Cruz,293.***.***-73,24.0,2001-06-02,"rua evelyn da cunha, 2",Desconhecido,Desconhecido
Amanda Cavalcanti,351.***.***-00,57.0,1968-12-13,"fazenda de duarte, 99",Desconhecido,Desconhecido
Bruno Melo,721.***.***-52,59.0,1965-06-26,"trevo de da costa, 7",Desconhecido,Desconhecido
Dra. Elisa Nunes,875.***.***-05,36.0,1989-01-12,"vale erick moreira, 48",Desconhecido,Desconhecido
Calebe Ramos,942.***.***-40,61.0,1964-05-05,"parque de moraes, 36",Desconhecido,Desconhecido
Sr. Arthur Moraes,306.***.***-87,82.0,1943-10-01,"passarela lima, 87",Desconhecido,Desconhecido
Júlia Silveira,913.***.***-57,75.0,1950-11-18,pátio vitor gabriel rocha,Desconhecido,Desconhecido
Sra. Isabelly Silva,732.***.***-00,35.0,1989-08-28,"rodovia agatha lopes, 7",Desconhecido,Desconhecido
Dr. Otávio Azevedo,457.***.***-30,81.0,1944-11-09,"aeroporto de ferreira, 2",Desconhecido,Desconhecido
Maria Cecília Aragão,264.***.***-49,100.0,1925-01-09,"trevo aragão, 535",Desconhecido,Desconhecido
Noah Da Rosa,742.***.***-22,60.0,1965-05-02,"avenida ferreira, 7",Desconhecido,Desconhecido
Sra. Laura Azevedo,540.***.***-71,39.0,1986-06-16,viaduto marcelo ramos,Desconhecido,Desconhecido
Dr. Francisco Moreira,702.***.***-08,25.0,1999-08-25,"núcleo silva, 7",Desconhecido,Desconhecido
Mariane Das Neves,912.***.***-05,45.0,1979-10-27,"rodovia de freitas, 782",Desconhecido,Desconhecido
Enzo Monteiro,309.***.***-56,35.0,1990-09-15,"quadra silveira, 76",Desconhecido,Desconhecido
Diego Da Rocha,093.***.***-83,37.0,1988-01-24,"conjunto da rosa, 22",Desconhecido,Desconhecido
Ana Laura Da Cruz,798.***.***-49,87.0,1937-04-28,parque rodrigues,Desconhecido,Desconhecido
Ana Sophia Gomes,384.***.***-46,45.0,1979-07-27,"lagoa porto, 44",Desconhecido,Desconhecido
Ana Laura Costa,502.***.***-85,54.0,1971-08-17,"vila sales, 913",Desconhecido,Desconhecido
Felipe Souza,187.***.***-84,56.0,1968-09-30,"setor peixoto, 47",Desconhecido,Desconhecido
Luana Novaes,287.***.***-87,80.0,1945-12-05,"parque luiz gustavo da conceição, 34",Desconhecido,Desconhecido
Sra. Yasmin Nogueira,360.***.***-15,49.0,1975-10-29,"lago de rocha, 482",Desconhecido,Desconhecido
Benício Melo,904.***.***-67,23.0,2002-12-07,recanto maitê pereira,Desconhecido,Desconhecido
Daniela Aragão,726.***.***-53,60.0,1965-07-06,"feira otávio pereira, 93",Desconhecido,Desconhecido
Davi Luiz Sales,740.***.***-13,45.0,1979-07-24,"trecho joão gabriel pires, 64",Desconhecido,Desconhecido
Milena Souza,904.***.***-70,87.0,1938-10-08,"praça de ribeiro, 9",Desconhecido,Desconhecido
Maria Eduarda Ferreira,438.***.***-60,75.0,1949-09-28,passarela de caldeira,Desconhecido,Desconhecido
Sr. Diogo Lima,302.***.***-00,31.0,1994-12-06,estrada danilo monteiro,Desconhecido,Desconhecido
Dr. Carlos Eduardo Araújo,496.***.***-47,41.0,1984-11-09,"rodovia sophia rodrigues, 88",Desconhecido,Desconhecido
Marina Gomes,934.***.***-00,99.0,1925-12-25,lagoa souza,Desconhecido,Desconhecido
Gustavo Henrique Duarte,254.***.***-60,24.0,2000-05-29,"área ana sophia pereira, 32",Desconhecido,Desconhecido
Caio Ramos,832.***.***-73,29.0,1996-11-06,"viaduto de sales, 92",Desconhecido,Desconhecido
Rafael Nunes,462.***.***-19,90.0,1935-04-10,"núcleo monteiro, 504",Desconhecido,Desconhecido
Enzo Gabriel Cardoso,726.***.***-67,38.0,1987-01-26,núcleo ribeiro,Desconhecido,Desconhecido
Davi Cardoso,065.***.***-90,19.0,2005-07-25,"praça ana júlia rezende, 38",Desconhecido,Desconhecido
Daniel Pires,274.***.***-47,41.0,1984-06-13,"avenida bruna rodrigues, 724",Desconhecido,Desconhecido
Brenda Da Mata,532.***.***-19,45.0,1980-02-29,"pátio rocha, 75",Desconhecido,Desconhecido
Samuel Dias,852.***.***-24,40.0,1985-11-17,"viaduto enzo gabriel moreira, 72",Desconhecido,Desconhecido
Gustavo Henrique Da Costa,917.***.***-50,20.0,2005-03-08,"residencial ribeiro, 60",Desconhecido,Desconhecido
Theo Fogaça,091.***.***-05,49.0,1975-06-26,"travessa cardoso, 95",Desconhecido,Desconhecido
Sra. Alexia Carvalho,483.***.***-71,25.0,2000-03-31,quadra lorenzo pires,Desconhecido,Desconhecido
Juliana Martins,432.***.***-56,86.0,1939-06-04,campo de souza,Desconhecido,Desconhecido
Luiz Gustavo Da Rosa,280.***.***-97,87.0,1938-06-09,"via de da paz, 5",Desconhecido,Desconhecido
Gabriela Freitas,367.***.***-26,31.0,1994-03-10,"trevo carvalho, 9",Desconhecido,Desconhecido
Enzo Gabriel Vieira,812.***.***-76,23.0,2002-01-28,travessa novaes,Desconhecido,Desconhecido
Srta. Luna Nascimento,815.***.***-60,71.0,1954-06-13,"passarela de nascimento, 916",Desconhecido,Desconhecido
Sophie Da Mata,971.***.***-97,72.0,1953-04-10,"avenida de almeida, 78",Desconhecido,Desconhecido
Clarice Alves,973.***.***-65,24.0,2001-12-02,avenida heloísa costa,Desconhecido,Desconhecido
Catarina Rodrigues,138.***.***-84,85.0,1939-11-26,"núcleo farias, 97",Desconhecido,Desconhecido
Antônio Vieira,017.***.***-53,90.0,1934-10-25,"favela de lopes, 473",Desconhecido,Desconhecido
Dr. Nicolas Da Conceição,105.***.***-80,27.0,1998-06-04,"quadra mariana costela, 87",Desconhecido,Desconhecido
Maria Alice Da Costa,290.***.***-92,89.0,1936-02-17,"rua cardoso, 76",Desconhecido,Desconhecido
Sr. Lucca Martins,906.***.***-70,57.0,1967-08-30,"pátio paulo da rosa, 93",Desconhecido,Desconhecido
João Pedro Costa,532.***.***-41,70.0,1955-09-12,feira cardoso,Desconhecido,Desconhecido
Maitê Gonçalves,034.***.***-20,99.0,1926-09-20,"distrito giovanna rodrigues, 37",Desconhecido,Desconhecido
Ana Laura Ferreira,326.***.***-74,73.0,1952-01-29,estrada de ramos,Desconhecido,Desconhecido
Sabrina Da Mata,172.***.***-02,31.0,1994-01-31,"viela de moraes, 56",Desconhecido,Desconhecido
Alexandre Das Neves,183.***.***-24,95.0,1930-07-19,"área de novaes, 52",Desconhecido,Desconhecido
Isadora Da Cunha,471.***.***-31,55.0,1969-08-31,"viaduto freitas, 622",Desconhecido,Desconhecido
Dr. Luigi Fernandes,834.***.***-55,74.0,1951-07-16,"distrito thomas pires, 77",Desconhecido,Desconhecido
Sr. Yago Cavalcanti,758.***.***-05,94.0,1931-03-01,estrada melo,Desconhecido,Desconhecido
Carolina Peixoto,396.***.***-96,64.0,1960-06-26,"loteamento dias, 21",Desconhecido,Desconhecido
Ana Lívia Porto,067.***.***-44,75.0,1949-09-26,"colônia vieira, 6",Desconhecido,Desconhecido
Henrique Da Mata,896.***.***-74,34.0,1990-12-25,"aeroporto vinicius rezende, 18",Desconhecido,Desconhecido
Enrico Aragão,490.***.***-75,94.0,1930-06-30,"praça almeida, 95",Desconhecido,Desconhecido
Milena Cavalcanti,523.***.***-70,27.0,1998-09-15,"trecho kevin castro, 70",Desconhecido,Desconhecido
Davi Lucca Melo,731.***.***-14,97.0,1928-02-22,"passarela kamilly moreira, 704",Desconhecido,Desconhecido
Clarice Fernandes,192.***.***-73,88.0,1936-12-27,"vereda jesus, 7",Desconhecido,Desconhecido
Dr. Luiz Fernando Das Neves,146.***.***-37,59.0,1966-02-21,"viaduto de martins, 24",Desconhecido,Desconhecido
Caio Azevedo,428.***.***-82,74.0,1951-03-04,"largo cardoso, 23",Desconhecido,Desconhecido
Enrico Novaes,457.***.***-38,75.0,1950-11-08,"vila heloísa barbosa, 666",Desconhecido,Desconhecido
Ana Clara Moreira,075.***.***-53,89.0,1936-12-15,residencial de aragão,Desconhecido,Desconhecido
Enrico Ribeiro,965.***.***-66,27.0,1998-02-24,"loteamento lopes, 2",Desconhecido,Desconhecido
Evelyn Aragão,548.***.***-07,87.0,1938-04-19,"estrada rebeca caldeira, 440",Desconhecido,Desconhecido
Thales Moreira,406.***.***-07,64.0,1960-07-31,quadra farias,Desconhecido,Desconhecido
Heitor Mendes,097.***.***-61,57.0,1968-01-13,lagoa de farias,Desconhecido,Desconhecido
Sarah Nascimento,938.***.***-10,42.0,1983-05-14,"largo de da costa, 400",Desconhecido,Desconhecido
Sra. Yasmin Melo,510.***.***-49,19.0,2005-07-22,"loteamento almeida, 821",Desconhecido,Desconhecido
Sr. Marcelo Costela,895.***.***-38,25.0,2000-08-16,"chácara clarice da costa, 135",Desconhecido,Desconhecido
Maria Cecília Araújo,752.***.***-52,77.0,1948-03-20,"distrito nathan melo, 3",Desconhecido,Desconhecido
Enzo Gabriel Ribeiro,965.***.***-02,65.0,1960-06-20,"recanto nunes, 87",Desconhecido,Desconhecido
Miguel Da Rosa,168.***.***-03,44.0,1980-04-24,"esplanada carvalho, 8",Desconhecido,Desconhecido
Maria Vitória Ferreira,914.***.***-69,25.0,2000-11-09,"lago lima, 6",Desconhecido,Desconhecido
Sr. Vitor Gabriel Gomes,348.***.***-60,49.0,1975-11-29,"vale costela, 49",Desconhecido,Desconhecido
Bianca Pinto,541.***.***-06,81.0,1943-05-29,"lagoa sales, 43",Desconhecido,Desconhecido
Igor Melo,519.***.***-39,98.0,1927-03-31,viaduto nogueira,Desconhecido,Desconhecido
Sra. Vitória Carvalho,528.***.***-38,36.0,1989-02-20,"jardim fernanda moura, 767",Desconhecido,Desconhecido
Sofia Duarte,412.***.***-28,20.0,2005-07-09,"morro isaac freitas, 543",Desconhecido,Desconhecido
Brenda Nogueira,160.***.***-33,57.0,1967-07-23,"pátio de almeida, 4",Desconhecido,Desconhecido
Rafael Fogaça,569.***.***-68,94.0,1931-03-04,"setor de da rosa, 401",Desconhecido,Desconhecido
Ana Nascimento,295.***.***-61,73.0,1951-11-22,"chácara de martins, 14",Desconhecido,Desconhecido
